별점,날짜,내용,정제된_내용,요일,리뷰길이,tfidf_같이,tfidf_계속,tfidf_공간,tfidf_공간이,tfidf_공포,tfidf_공포영화,tfidf_그냥,tfidf_기분,tfidf_끝나고,tfidf_너무,tfidf_느낌,tfidf_뭔가,tfidf_백룸,tfidf_보고,tfidf_보는,tfidf_봤는데,tfidf_영화,tfidf_영화가,tfidf_영화는,tfidf_영화를,tfidf_오랜만에,tfidf_이거,tfidf_이런,tfidf_있는,tfidf_재밌게,tfidf_정말,tfidf_주는,tfidf_진짜,tfidf_추천,tfidf_하는
6,2026-07-10 00:08:00,‘백룸’을 설명하는 이야기는 다소 모호하고 혼란스러운 상태라 호불호가 있을 수 있다. 하지만 공간이 주는 압박감과 두려움을 제대로 살린 장면은 ‘백룸’의 팬에게 충분히 만족스러울 것이다.,백룸을 설명하는 이야기는 다소 모호하고 혼란스러운 상태라 호불호가 있을 수 있다 하지만 공간이 주는 압박감과 두려움을 제대로 살린 장면은 백룸의 팬에게 충분히 만족스러울 것이다,Friday,104,0.0,0.0,0.0,0.7258217452965527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6878828345399137,0.0,0.0,0.0
8,2026-07-04 11:20:00,영화끝나고 화장실을 찾으러 나가는 공간이 백룸이였다..,영화끝나고 화장실을 찾으러 나가는 공간이 백룸이였다,Saturday,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-07-01 10:06:00,노잼  지루해서 졸고 어떤사람은 중간에 나가드라,노잼  지루해서 졸고 어떤사람은 중간에 나가드라,Wednesday,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-29 16:11:00,여긴 어디? 나는 누구인가?,여긴 어디 나는 누구인가,Monday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-29 11:50:00,감독의 꽃길을 응원합니다,감독의 꽃길을 응원합니다,Monday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-28 19:46:00,재밌긴 한데 여주인공 존나 답답해서 가면 갈수록 극혐임,재밌긴 한데 여주인공 존나 답답해서 가면 갈수록 극혐임,Sunday,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-27 14:08:00,영화관가서 꼭 봐야합니다. 돈이 아깝다는 생각은 안들정도의 영화에요. 딱 그정도입니다,영화관가서 꼭 봐야합니다 돈이 아깝다는 생각은 안들정도의 영화에요 딱 그정도입니다,Saturday,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-06-26 21:42:00,캐릭터들이 누가 더 바보같고 답답한지 경쟁하는거 같음,캐릭터들이 누가 더 바보같고 답답한지 경쟁하는거 같음,Friday,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-06-26 20:52:00,무한하고 미스테리한 공간과 미지의 존재가 주는 의문감에 몰입하면서 보았다,무한하고 미스테리한 공간과 미지의 존재가 주는 의문감에 몰입하면서 보았다,Friday,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,2026-06-26 10:39:00,A24가 대탈출을 만든다면 이런 느낌일까대대대대탈출을 본 느낌,a가 대탈출을 만든다면 이런 느낌일까대대대대탈출을 본 느낌,Friday,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-06-25 18:32:00,이해하기 어려운 영화였다.,이해하기 어려운 영화였다,Thursday,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-06-25 06:02:00,당신의 기억은 얼마나 정확한가요.,당신의 기억은 얼마나 정확한가요,Thursday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-06-25 00:55:00,"공간이 주는 기괴한 시각적 압도감에 비해, 세계관에 대한 최소한의 복선이나 각 인물들의 탐험 당위성이 결여되어 있다. 친절한 서사(네러티브) 대신 모호함으로 일관하여, 영화와 감독이 무엇을 전달하고자 하는지 그 본질을 흐린다.",공간이 주는 기괴한 시각적 압도감에 비해 세계관에 대한 최소한의 복선이나 각 인물들의 탐험 당위성이 결여되어 있다 친절한 서사네러티브 대신 모호함으로 일관하여 영화와 감독이 무엇을 전달하고자 하는지 그 본질을 흐린다,Thursday,126,0.0,0.0,0.0,0.7258217452965527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6878828345399137,0.0,0.0,0.0
8,2026-06-23 15:54:00,그럭저럭 볼만한 영화였다는 감상볼거리 많아서 좋았음,그럭저럭 볼만한 영화였다는 감상볼거리 많아서 좋았음,Tuesday,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-06-21 23:56:00,난 재밌어서 3번 봤는디,난 재밌어서 번 봤는디,Sunday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-21 22:02:00,생각을 많이 하게 되긴하지만 뭔가 막 재미있다고 할수는 없을듯... 생각하며 끌고 들어가는 영상적완성도는 훌륭하다 할수있음. 이런장르 좋아 하시는 분들에게는 추천함.,생각을 많이 하게 되긴하지만 뭔가 막 재미있다고 할수는 없을듯 생각하며 끌고 들어가는 영상적완성도는 훌륭하다 할수있음 이런장르 좋아 하시는 분들에게는 추천함,Sunday,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-06-21 17:24:00,진짜 최악의 영화. 스릴러 좋아하는 분들은 절대 보지마세요. 이거 기괴한 분위기의 공포에요. 보는 내내 음악이나 분위기 어지럽고 평점이 8점이나 된다는게 정말 이해불가절대 보지 마세요ㅠ 그리고 백룸 갇혀서 탈출하는 그런 영화 절대 아니에요 ㅡㅜㅜ,진짜 최악의 영화 스릴러 좋아하는 분들은 절대 보지마세요 이거 기괴한 분위기의 공포에요 보는 내내 음악이나 분위기 어지럽고 평점이 점이나 된다는게 정말 이해불가절대 보지 마세요 그리고 백룸 갇혀서 탈출하는 그런 영화 절대 아니에요,Sunday,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444751468134725,0.0,0.42057621767322534,0.0,0.536909117410364,0.0,0.0,0.0,0.0,0.40893631904641814,0.0,0.0,0.0,0.42057621767322534,0.0,0.268454558705182,0.0,0.0
2,2026-06-19 08:12:00,이거 예매하고 향후 10년간 영화 예매권 박탈당함,이거 예매하고 향후 년간 영화 예매권 박탈당함,Friday,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487851755692568,0.0,0.0,0.0,0.0,0.8359634149144446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-06-17 22:55:00,"기대안하고 보러갔지만, 2편나오면 또 볼것이다",기대안하고 보러갔지만 편나오면 또 볼것이다,Wednesday,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-06-17 22:29:00,바이럴 겁나 돌리더니 평점도 알바인갑네. 사람들 몇몇 언제 끝나나 폰으로 시간 보는데 심정 이해돼서 화가 안 났음.,바이럴 겁나 돌리더니 평점도 알바인갑네 사람들 몇몇 언제 끝나나 폰으로 시간 보는데 심정 이해돼서 화가 안 났음,Wednesday,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-15 11:40:00,음.. 조금 난해하네요. 루틴을 가지고 살면 비슷한 문제가 계속 반복해서 생기니까 새로운 세계로 나아가야 한다는 메세지가 들어있는거 같은데 백룸과 연관성이 있는건지 모르겠네요. 일단 영화가 기괴해요ㅋㅋ,음 조금 난해하네요 루틴을 가지고 살면 비슷한 문제가 계속 반복해서 생기니까 새로운 세계로 나아가야 한다는 메세지가 들어있는거 같은데 백룸과 연관성이 있는건지 모르겠네요 일단 영화가 기괴해요,Monday,112,0.0,0.6979921012921056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7161054576902978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-06-14 13:01:00,개인적으로 스토리가 아주 살짝 이해가 안되고 해석이 어려움 연출은 너무나 좋았다,개인적으로 스토리가 아주 살짝 이해가 안되고 해석이 어려움 연출은 너무나 좋았다,Sunday,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-14 11:49:00,소리가 공포감의 80%는 되는거 같아요. 무서운 장면 없이 무서움을 주는 듯. 호불호는 갈릴거 같은데 너무 재밌게 봤어요.,소리가 공포감의 는 되는거 같아요 무서운 장면 없이 무서움을 주는 듯 호불호는 갈릴거 같은데 너무 재밌게 봤어요,Sunday,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47106768961080375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631674522346707,0.0,0.6156967838334054,0.0,0.0,0.0
2,2026-06-14 11:20:00,아흠 잘 잤다.여기가 어디지? 백룸인가?,아흠 잘 잤다여기가 어디지 백룸인가,Sunday,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-06-14 09:49:00,군체보다 훨씬 훌륭한 완성도,군체보다 훨씬 훌륭한 완성도,Sunday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-06-14 09:46:00,꽤 완성도 높은 심리 스릴러,꽤 완성도 높은 심리 스릴러,Sunday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-06-14 09:43:00,집중해서 쭉 보면서 초반 중반 지나면서 드는생각은 이거 이대로 영화 진행되겠다는 생각이 강하게 들더니 아니나다를까 그대로 잔잔하게 끝나더군요 영화끝나고 드는생각은 2편 반드시 나올거라는 확신이 듭니다 왜냐 이영화는 세계관 설명판 정도로 만들었던것같아요 해석이 어렵거나 그런영화는 아닙니다. 집관할 영화정도느낌,집중해서 쭉 보면서 초반 중반 지나면서 드는생각은 이거 이대로 영화 진행되겠다는 생각이 강하게 들더니 아니나다를까 그대로 잔잔하게 끝나더군요 영화끝나고 드는생각은 편 반드시 나올거라는 확신이 듭니다 왜냐 이영화는 세계관 설명판 정도로 만들었던것같아요 해석이 어렵거나 그런영화는 아닙니다 집관할 영화정도느낌,Sunday,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487851755692568,0.0,0.0,0.0,0.0,0.8359634149144446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-13 23:31:00,별로 재미없으 2나오면 볼것같김함,별로 재미없으 나오면 볼것같김함,Saturday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-13 16:51:00,너무 감동적이고 연인이랑 같이보길 추천해요,너무 감동적이고 연인이랑 같이보길 추천해요,Saturday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-13 14:21:00,한마디로 정신병자의 머릿 속에 들어갔다 나온 기분.. 그 정도로 리얼한 느낌이 들었다는 뜻..  우울증 있는 분들은 보지마세요. 많이 힘듭니다.,한마디로 정신병자의 머릿 속에 들어갔다 나온 기분 그 정도로 리얼한 느낌이 들었다는 뜻  우울증 있는 분들은 보지마세요 많이 힘듭니다,Saturday,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124392426281538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7017337996444396,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-13 10:07:00,개연성 공간적공포 뻔한줄거리가아닌 인갸의심리적요소와의미가 들어간 괜찮은 작품,개연성 공간적공포 뻔한줄거리가아닌 인갸의심리적요소와의미가 들어간 괜찮은 작품,Saturday,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-06-13 02:54:00,작품의 일등공신 프로덕션 디자인과 이를 잘 활용한 연출. 깊지는 않아도 자기 내면 심리 스토리를 소재와 잘 꿰어냈다. 반올림 7점.,작품의 일등공신 프로덕션 디자인과 이를 잘 활용한 연출 깊지는 않아도 자기 내면 심리 스토리를 소재와 잘 꿰어냈다 반올림 점,Saturday,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-06-13 02:00:00,진짜 살면서 영화를 최소 100편은 봤을텐데 그 중에 최악이었어요,진짜 살면서 영화를 최소 편은 봤을텐데 그 중에 최악이었어요,Saturday,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8503883406243109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5261555569698289,0.0,0.0
7,2026-06-12 15:11:00,20세 감독이 만든 첫 영화가 이정도라면 다음 영화에서 어느정도 진전이 있을지 기대됩니다. 점프스퀘어 없이 이정도 긴장감과 공포라면 좀 아쉽긴하지만 호 드리고 싶습니다.,세 감독이 만든 첫 영화가 이정도라면 다음 영화에서 어느정도 진전이 있을지 기대됩니다 점프스퀘어 없이 이정도 긴장감과 공포라면 좀 아쉽긴하지만 호 드리고 싶습니다,Friday,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-06-12 14:39:00,영상미는 좋다고 생각해요. 그 아무도 없는 텅빈 느낌은 확실히 받을수있었습니다. 하지만..스토리는 뭘 의미하려는 건지 모르겠네요.,영상미는 좋다고 생각해요 그 아무도 없는 텅빈 느낌은 확실히 받을수있었습니다 하지만스토리는 뭘 의미하려는 건지 모르겠네요,Friday,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-06-12 12:24:00,"기이함에서부터 발생하는 원초적 공포를 보여주는 파라노말 액티비티류인가 아니면 REC 같은 페이크 다큐 형태인가 긴가 민가 했는데, 보아하니 감독도 나처럼 고민해서 이거 저거 섞어 만든건지 공포도 기이함도 애매한 무언가였다.",기이함에서부터 발생하는 원초적 공포를 보여주는 파라노말 액티비티류인가 아니면 rec 같은 페이크 다큐 형태인가 긴가 민가 했는데 보아하니 감독도 나처럼 고민해서 이거 저거 섞어 만든건지 공포도 기이함도 애매한 무언가였다,Friday,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-06-11 18:07:00,지방영화관에서 혼자봤는데 백룸 온줄... 영화끝나고 사람보니까 그렇게 반가울 수가 없다.,지방영화관에서 혼자봤는데 백룸 온줄 영화끝나고 사람보니까 그렇게 반가울 수가 없다,Thursday,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-06-11 17:53:00,종일 헤매다가 끝난다.,종일 헤매다가 끝난다,Thursday,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-06-11 14:58:00,리미널 스페이스와 코즈믹 호러 장르 특유의 근원적 공포를 극대화시키는 영리한 연출,리미널 스페이스와 코즈믹 호러 장르 특유의 근원적 공포를 극대화시키는 영리한 연출,Thursday,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-11 12:02:00,백룸 너무 무서워요 백룸,백룸 너무 무서워요 백룸,Thursday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047656759806659,0.0,0.0,0.9144204435312645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-06-10 19:36:00,긴장감 애매공포감 애매스토리 애매연출 애매모든게 애매한 영화나도 점수 애매하게 줘야지,긴장감 애매공포감 애매스토리 애매연출 애매모든게 애매한 영화나도 점수 애매하게 줘야지,Wednesday,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-06-10 01:18:00,평이 진짜 갈리는데.. 전 영화의 전체적인 기괴함과 불쾌함이 흥미로웠어서 재밌게 봤어요. 생각할 거리도 많아서 단순히 극장에서 관람하고 끝나는 영화가 아니라 이후에 이런 저런 해석을 해볼수 있어서 더 좋았습니다. 단순 킬링타임/정석공포물 을 기대하신다면 보지 않는게 좋을 듯..,평이 진짜 갈리는데 전 영화의 전체적인 기괴함과 불쾌함이 흥미로웠어서 재밌게 봤어요 생각할 거리도 많아서 단순히 극장에서 관람하고 끝나는 영화가 아니라 이후에 이런 저런 해석을 해볼수 있어서 더 좋았습니다 단순 킬링타임정석공포물 을 기대하신다면 보지 않는게 좋을 듯,Wednesday,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5377030220585026,0.0,0.0,0.0,0.0,0.5451162708289697,0.0,0.5377030220585026,0.0,0.0,0.35298607821814204,0.0,0.0
